system:index,apex_date,aspect,detail,elevation,event_id,flood,is_agriculture,is_flood_prone,is_permanent_water,is_urban,land_cover,precip_14_day,precip_3_day,precip_7_day,precip_total,purpose,slope,soil_moisture,soil_type,.geo
1_1207,2024-06-10,296.2103964793165,Lu quet Ha Giang (thang 6/2024),3,FL_TST_2024_06,1,0,0,0,0,10,328.1099925879389,50.86999926716089,57.37999911978841,66.9299982227385,testing,2.099030470557138,0,4,"{""type"":""Point"",""coordinates"":[103.99865219740951,10.077844139970049]}"
2_288,2024-06-10,34.12249289054317,Lu quet Ha Giang (thang 6/2024),33,FL_TST_2024_06,0,0,0,0,0,10,224.00999491848052,50.869998812675476,85.48999799787998,114.82999699190259,testing,3.3572755727174064,0,4,"{""type"":""Point"",""coordinates"":[103.92835254806398,10.317307145312796]}"
2_514,2024-06-10,103.8224593738202,Lu quet Ha Giang (thang 6/2024),30,FL_TST_2024_06,0,0,0,0,0,10,322.7599935028702,56.89999854378402,97.22999802976847,123.6099967751652,testing,3.8761858968232232,0,4,"{""type"":""Point"",""coordinates"":[104.02968120683316,10.212254406122671]}"
2_955,2024-06-10,-0.0,Lu quet Ha Giang (thang 6/2024),0,FL_TST_2024_06,0,0,0,0,0,95,155.20999615453184,7.889999805018306,25.929999193176627,88.34999821335077,testing,0.9274099368611016,0,4,"{""type"":""Point"",""coordinates"":[104.80479411649796,8.932021193947358]}"
2_969,2024-06-10,236.73648397794568,Lu quet Ha Giang (thang 6/2024),240,FL_TST_2024_06,0,0,0,0,0,10,322.7599935028702,56.89999854378402,97.22999802976847,123.6099967751652,testing,3.378056778905885,0,4,"{""type"":""Point"",""coordinates"":[104.02865759424665,10.279684920227862]}"
2_1207,2024-06-10,270.0,Lu quet Ha Giang (thang 6/2024),4,FL_TST_2024_06,0,0,0,0,0,10,328.1099925879389,50.86999926716089,57.37999911978841,66.9299982227385,testing,1.8833736618315349,0,4,"{""type"":""Point"",""coordinates"":[103.99865219740951,10.077844139970049]}"
2_1883,2024-06-10,-0.0,Lu quet Ha Giang (thang 6/2024),-2,FL_TST_2024_06,0,0,0,0,0,95,300.3699928428978,5.7199999168515205,37.55999885685742,90.62999734655023,testing,1.854334168853263,0,4,"{""type"":""Point"",""coordinates"":[104.83241347343557,8.651866677853901]}"
2_1938,2024-06-10,289.6920152048821,Lu quet Ha Giang (thang 6/2024),46,FL_TST_2024_06,0,0,0,0,0,10,262.83999500237405,63.249998807907104,77.52999841608107,82.69999857991934,testing,10.877378054005046,0,4,"{""type"":""Point"",""coordinates"":[103.97029306784196,10.195551866195729]}"
2_2016,2024-06-10,180.0,Lu quet Ha Giang (thang 6/2024),13,FL_TST_2024_06,0,0,0,0,0,10,153.32999723032117,38.54999936930835,56.849999226629734,70.70999840460718,testing,0.9274099368611016,0,4,"{""type"":""Point"",""coordinates"":[104.02942143925107,10.411397107160992]}"
2_2547,2024-06-10,90.0,Lu quet Ha Giang (thang 6/2024),1,FL_TST_2024_06,0,0,0,0,0,95,300.3699928428978,5.7199999168515205,37.55999885685742,90.62999734655023,testing,1.8756399716806953,0,4,"{""type"":""Point"",""coordinates"":[104.80307951091504,8.64751437071828]}"
2_2552,2024-06-10,225.33959029610932,Lu quet Ha Giang (thang 6/2024),0,FL_TST_2024_06,0,0,0,0,0,95,160.0299954675138,4.909999806433916,13.189999602735043,99.31999757513404,testing,2.6371643681379338,0,4,"{""type"":""Point"",""coordinates"":[104.79318325856937,8.804774685474017]}"
